timestamp,label,content
"
"2025-01-27T11:40:00.068814,start_01,
"
"2025-01-27T11:40:18.950041,start_02,1104
"
"2025-01-27T11:40:18.965840,start_03,
"
"2025-01-27T11:41:47.269538,lat_instr_01,
"
"2025-01-27T11:42:55.988944,lat_rating_n,6
"
"2025-01-27T11:43:05.840625,lat_rating_p,3
"
"2025-01-27T11:43:05.856081,fixation_01,
"
"2025-01-27T11:43:08.873275,stimulus_01,die Welt
"
"2025-01-27T11:43:13.876920,lat_rating_start_01,
"
"2025-01-27T11:43:50.972933,lat_rating_n_01,5
"
"2025-01-27T11:43:55.021997,lat_rating_p_01,3
"
"2025-01-27T11:43:55.036529,fixation_02,
"
"2025-01-27T11:43:58.036665,stimulus_02,hoffnungslos
"
"2025-01-27T11:44:03.037165,lat_rating_start_02,
"
"2025-01-27T11:44:10.771847,lat_rating_n_02,6
"
"2025-01-27T11:44:13.871151,lat_rating_p_02,3
"
"2025-01-27T11:44:13.885801,fixation_03,
"
"2025-01-27T11:44:16.887576,stimulus_03,die Welt
"
"2025-01-27T11:44:21.890499,lat_rating_start_03,
"
"2025-01-27T11:44:28.443140,lat_rating_n_03,6
"
"2025-01-27T11:44:31.975809,lat_rating_p_03,4
"
"2025-01-27T11:44:31.990403,fixation_04,
"
"2025-01-27T11:44:34.991323,stimulus_04,Ich
"
"2025-01-27T11:44:39.992041,lat_rating_start_04,
"
"2025-01-27T11:44:47.011961,lat_rating_n_04,6
"
"2025-01-27T11:44:49.460873,lat_rating_p_04,3
"
"2025-01-27T11:44:49.475525,fixation_05,
"
"2025-01-27T11:44:52.477696,stimulus_05,Zukunft
"
"2025-01-27T11:44:57.479430,lat_rating_start_05,
"
"2025-01-27T11:45:05.482303,lat_rating_n_05,5
"
"2025-01-27T11:45:11.798482,lat_rating_p_05,4
"
"2025-01-27T11:45:11.813161,fixation_06,
"
"2025-01-27T11:45:14.816061,stimulus_06,Selfie
"
"2025-01-27T11:45:19.816674,lat_rating_start_06,
"
"2025-01-27T11:45:30.519142,lat_rating_n_06,5
"
"2025-01-27T11:45:34.252088,lat_rating_p_06,4
"
"2025-01-27T11:45:34.265864,fixation_07,
"
"2025-01-27T11:45:37.268633,stimulus_07,Freude
"
"2025-01-27T11:45:42.271951,lat_rating_start_07,
"
"2025-01-27T11:45:56.062136,lat_rating_n_07,5
"
"2025-01-27T11:46:00.461113,lat_rating_p_07,3
"
"2025-01-27T11:46:00.475742,fixation_08,
"
"2025-01-27T11:46:03.476831,stimulus_08,Zukunft
