timestamp,label,content
"
"2024-07-03 09:12:54.213383,start_01,
"
"2024-07-03 09:12:58.436210,start_02,777
"
"2024-07-03 09:12:58.452607,start_03,
"
"2024-07-03 09:14:08.863336,lat_instr_01,
"
"2024-07-03 09:14:48.941113,lat_rating_n,2
"
"2024-07-03 09:14:58.341527,lat_rating_p,8
"
"2024-07-03 09:14:58.357483,fixation_01,
"
"2024-07-03 09:15:01.376507,stimulus_01,die Welt
"
"2024-07-03 09:15:06.364635,lat_rating_start_01,
"
"2024-07-03 09:15:14.335328,lat_rating_n_01,2
"
"2024-07-03 09:15:19.850813,lat_rating_p_01,9
"
"2024-07-03 09:15:19.866405,fixation_02,
"
"2024-07-03 09:15:22.870345,stimulus_02,Selfie
"
"2024-07-03 09:15:27.871825,lat_rating_start_02,
"
"2024-07-03 09:15:35.405419,lat_rating_n_02,2
"
"2024-07-03 09:15:41.072140,lat_rating_p_02,8
"
"2024-07-03 09:15:41.087774,fixation_03,
"
"2024-07-03 09:15:44.091793,stimulus_03,hoffnungslos
"
"2024-07-03 09:15:49.080154,lat_rating_start_03,
"
"2024-07-03 09:15:56.803835,lat_rating_n_03,2
"
"2024-07-03 09:16:05.692841,lat_rating_p_03,7
"
"2024-07-03 09:16:05.708520,fixation_04,
"
"2024-07-03 09:16:08.711911,stimulus_04,Freude
"
"2024-07-03 09:16:13.716968,lat_rating_start_04,
"
"2024-07-03 09:16:22.556771,lat_rating_n_04,2
"
"2024-07-03 09:16:29.360173,lat_rating_p_04,7
"
"2024-07-03 09:16:29.375993,fixation_05,
"
"2024-07-03 09:16:32.379513,stimulus_05,Freude
"
"2024-07-03 09:16:37.368718,lat_rating_start_05,
"
"2024-07-03 09:16:44.987317,lat_rating_n_05,2
"
"2024-07-03 09:16:53.507809,lat_rating_p_05,8
"
"2024-07-03 09:16:53.523467,fixation_06,
"
"2024-07-03 09:16:56.526536,stimulus_06,hoffnungslos
"
"2024-07-03 09:17:01.531911,lat_rating_start_06,
"
"2024-07-03 09:17:08.152012,lat_rating_n_06,2
"
"2024-07-03 09:17:15.552239,lat_rating_p_06,8
"
"2024-07-03 09:17:15.567784,fixation_07,
"
"2024-07-03 09:17:18.571635,stimulus_07,Zukunft
"
"2024-07-03 09:17:23.561031,lat_rating_start_07,
"
"2024-07-03 09:17:34.066943,lat_rating_n_07,2
"
"2024-07-03 09:17:41.120273,lat_rating_p_07,8
"
"2024-07-03 09:17:41.135837,fixation_08,
"
"2024-07-03 09:17:44.139510,stimulus_08,Zukunft
"
"2024-07-03 09:17:49.129153,lat_rating_start_08,
